date,close,volume,open,high,low,,delta
11/9/2018,2032.687954,315066.6329,279.03,279.24,276.18,,-0.001330152
11/8/2018,2035.39534,43461.27763,280.11,281.22,279.22,,-0.001223787
11/7/2018,2037.889281,43847.83858,277.56,281.1,277.08,,-0.001114746
11/6/2018,2040.163545,44200.34953,273.32,275.3,273.25,,-0.001003276
11/5/2018,2042.212448,44517.92938,272.44,274.01,271.35,,-0.000889624
11/2/2018,2044.030867,44799.78436,274.75,275.23,269.59,,-0.000774042
11/1/2018,2045.614258,45045.20996,271.6,273.73,270.38,,-0.000656782
10/31/2018,2046.958663,45253.59276,270.65,273.23,270.12,,-0.000538099
10/30/2018,2048.060722,45424.4119,263.67,268.12,263.12,,-0.000418249
10/29/2018,2048.91768,45557.24042,268.8,270.25,259.85,,-0.000297491
10/26/2018,2049.527396,45651.74634,265.92,271,262.29,,-0.000176082
10/25/2018,2049.888345,45707.69341,267.38,271.81,266.23,,-5.4283E-05
10/24/2018,2049.999625,45724.94182,273.33,273.76,264.7,,6.7647E-05
10/23/2018,2049.860958,45703.44845,270.95,274.87,268.61,,0.000189447
10/22/2018,2049.47269,45643.26702,277,277.36,274.41,,0.000310858
10/19/2018,2048.835793,45544.54794,277.13,279.3,275.47,,0.000431619
10/18/2018,2047.951858,45407.53798,279.4,280.07,274.97,,0.000551471
10/17/2018,2046.823094,45232.57958,280.44,281.15,277.56,,0.000670156
10/16/2018,2045.452323,45020.11005,276.6,280.82,276.07,,0.000787415
10/15/2018,2043.842971,44770.66044,275.55,277.04,274.3,,0.000902993
10/12/2018,2041.99906,44484.85426,276.77,277.09,272.37,,0.001016636
10/11/2018,2039.925199,44163.40587,277.08,278.9,270.36,,0.00112809
10/10/2018,2037.626572,43807.11873,286.83,286.91,277.88,,0.001237107
10/9/2018,2035.108925,43416.88336,287.39,288.86,286.77,,0.001343438
10/8/2018,2032.378549,42993.67515,287.05,288.22,285.5,,0.00144684
10/5/2018,2029.44227,42538.55191,289.69,290.27,286.22,,0.001547072
10/4/2018,2026.307427,42052.6512,291.18,291.24,287.66,,0.001643896
10/3/2018,2022.981855,41537.18752,292.74,293.21,291.32,,0.001737081
10/2/2018,2019.473866,40993.44926,291.56,292.355,291.14,,0.001826397
10/1/2018,2015.792229,40422.79549,292.11,292.93,290.98,,0.001911624
9/28/2018,2011.946145,39826.65254,289.99,291.28,289.95,,0.001992543
9/27/2018,2007.945229,39206.51046,290.41,291.91,290.1,,0.002068944
9/26/2018,2003.799479,38563.91928,290.91,292.24,289.41,,0.002140625
9/25/2018,1999.519259,37900.48514,291.53,291.65,290.4833,,0.002207388
9/24/2018,1995.115266,37217.86629,291.34,291.5,290.37,,0.002269045
9/21/2018,1990.598509,36517.76892,293.09,293.22,291.81,,0.002325417
9/20/2018,1985.980277,35801.9429,292.64,293.94,291.2363,,0.002376334
9/19/2018,1981.272112,35072.17742,290.97,291.69,290.825,,0.002421636
9/18/2018,1976.485784,34330.29653,289.58,291.58,289.55,,0.002461172
9/17/2018,1971.633255,33578.15454,290.82,290.86,289.03,,0.002494806
9/14/2018,1966.726654,32817.6314,291.06,291.27,290,,0.00252241
9/13/2018,1961.778245,32050.62804,290.32,291.0384,289.995,,0.002543871
9/12/2018,1956.800397,31279.06155,289.06,289.8,288.23,,0.00255909
9/11/2018,1951.805551,30504.86047,287.37,289.55,286.975,,0.00256798
9/10/2018,1946.806193,29729.95987,288.74,289.04,287.88,,0.00257047
9/7/2018,1941.814817,28956.29662,286.98,288.7,286.71,,0.002566504
9/6/2018,1936.8439,28185.80447,289.15,289.49,287,,0.002556043
9/5/2018,1931.905866,27420.40924,289.41,289.64,287.89,,0.002539063
9/4/2018,1927.013058,26662.02403,289.84,290.21,288.68,,0.00251556
8/31/2018,1922.177706,25912.54441,289.84,290.81,289.29,,0.002485544
8/30/2018,1917.411895,25173.84368,290.94,291.36,289.63,,0.002449046
8/29/2018,1912.727537,24447.7682,290.16,291.74,289.8854,,0.002406115
8/28/2018,1908.136341,23736.1328,290.3,290.4175,289.4,,0.002356819
8/27/2018,1903.649782,23040.71619,288.86,289.9,288.68,,0.002301245
8/24/2018,1899.279074,22363.25655,286.44,287.67,286.38,,0.0022395
8/23/2018,1895.035143,21705.44717,285.97,286.94,285.43,,0.00217171
8/22/2018,1890.928595,21068.93223,285.88,286.76,285.575,,0.00209802
8/21/2018,1886.969695,20455.3027,286.25,287.31,285.7135,,0.002018597
8/20/2018,1883.168338,19866.09232,285.57,285.97,285.06,,0.001933624
8/17/2018,1879.534025,19302.77381,283.83,285.5601,283.37,,0.001843308
8/16/2018,1876.07584,18766.75519,283.4,285.04,283.36,,0.001747869
8/15/2018,1872.802427,18259.3762,282.38,282.54,280.16,,0.001647549
8/14/2018,1869.721968,17781.90505,282.92,284.17,282.4833,,0.001542608
8/13/2018,1866.842162,17335.53515,283.47,284.16,281.77,,0.001433321
8/10/2018,1864.170208,16921.3822,283.45,284.055,282.36,,0.001319981
8/9/2018,1861.712783,16540.48137,285.53,285.97,284.915,,0.001202894
8/8/2018,1859.47603,16193.78471,285.39,285.91,284.94,,0.001082383
8/7/2018,1857.465541,15882.15878,285.39,286.01,285.24,,0.000958784
8/6/2018,1855.686339,15606.38248,283.64,284.99,283.2015,,0.000832442
8/3/2018,1854.142872,15367.14511,282.53,283.6577,282.33,,0.000703717
8/2/2018,1852.838998,15165.04465,279.39,282.58,279.16,,0.000572975
8/1/2018,1851.777976,15000.58622,281.56,282.13,280.1315,,0.000440591
7/31/2018,1850.962457,14874.18091,280.81,282.02,280.38,,0.000306949
7/30/2018,1850.394482,14786.14464,281.51,281.69,279.36,,0.000172433
7/27/2018,1850.075468,14736.69748,283.71,283.82,280.38,,3.74348E-05
7/26/2018,1850.006213,14725.963,283.2,284.11,283.09,,-9.76538E-05
7/25/2018,1850.186891,14753.96805,281.33,284.37,281.28,,-0.000232441
7/24/2018,1850.617049,14820.64262,281.79,282.56,280.63,,-0.000366535
7/23/2018,1851.295613,14925.82005,279.45,280.43,279.06,,-0.000499548
7/20/2018,1852.220887,15069.23748,279.77,280.48,279.5,,-0.000631098
7/19/2018,1853.390557,15250.53641,280.31,280.74,279.46,,-0.000760806
7/18/2018,1854.801701,15469.26371,280.56,281.18,280.06,,-0.000888303
7/17/2018,1856.450791,15724.87266,278.47,280.91,278.41,,-0.001013227
7/16/2018,1858.333706,16016.72437,279.64,279.803,278.84,,-0.001135229
7/13/2018,1860.445738,16344.08938,279.17,279.93,278.66,,-0.001253969
7/12/2018,1862.781609,16706.14944,278.28,279.43,277.6,,-0.001369122
